Node,Degree Centrality
Semantic Web,0.0519524617996604
Authorial Philology,0.0471986417657045
Machine Learning,0.0387096774193548
Artificial Intelligence,0.0339558573853989
Ontologies,0.031239388794567
Linked Open Data,0.0281833616298811
Natural Language Processing,0.0244482173174872
Open Citations,0.0241086587436332
Italian Philology,0.0237691001697792
Alessandro Manzoni,0.0227504244482173
Carlo Emilio Gadda,0.0210526315789473
Giacomo Leopardi,0.0207130730050933
Critica Delle Varianti,0.0183361629881154
Visualization,0.0179966044142614
Big Data,0.0162988115449915
Archives,0.0162988115449915
Cultural Heritage,0.0159592529711375
Information Systems,0.0152801358234295
Computer Science Applications,0.0152801358234295
Software Engineering,0.0142614601018675
Manzoni,0.0142614601018675
Linked Data,0.0142614601018675
Knowledge Graph,0.0142614601018675
Legal Design,0.0139219015280135
Computer Vision And Pattern Recognition,0.0139219015280135
Francesco Petrarca,0.0135823429541595
Philology,0.0135823429541595
Rdf,0.0129032258064516
Semantic Publishing,0.0125636672325976
Deep Learning,0.0118845500848896
Bibliometrics,0.0118845500848896
Dante,0.0115449915110356
Frame Semantics,0.0115449915110356
Microservices,0.0115449915110356
Computer Networks And Communications,0.0108658743633276
Benedetto Varchi,0.0108658743633276
Semantics,0.0108658743633276
Akoma Ntoso,0.0105263157894736
Ontology Design Patterns,0.0105263157894736
Vincenzo Monti,0.0101867572156196
Pietro Verri,0.0101867572156196
Gdpr,0.0101867572156196
Vittorio Alfieri,0.0101867572156196
Knowledge Graphs,0.0098471986417657
Ontology Engineering,0.0098471986417657
Annibale Rucellai,0.0095076400679117
Lodovico Ariosto,0.0095076400679117
Constraint Programming,0.0095076400679117
Giuseppe Pelli Bencivenni,0.0095076400679117
Pietro Metastasio,0.0095076400679117
Edizioni Digitali,0.0095076400679117
Giovan Battista Vico,0.0095076400679117
Scientometrics,0.0095076400679117
Galileo Galilei,0.0095076400679117
Audiences,0.0095076400679117
Torquato Tasso,0.0095076400679117
Giovanni Boccaccio,0.0095076400679117
Umanesimo,0.0095076400679117
Sannazzaro,0.0095076400679117
Niccolò Machiavelli,0.0095076400679117
Alessandro Tassoni,0.0095076400679117
Francesco Guicciardini,0.0095076400679117
Giovan Giorgio Trissino,0.0095076400679117
Giovanni Della Casa,0.0095076400679117
Pietro Aretino,0.0095076400679117
Transparency,0.0095076400679117
Information Retrieval,0.0095076400679117
Baldassar Castiglione,0.0095076400679117
Vincenzio Borghini,0.0095076400679117
Pietro Bembo,0.0095076400679117
Critica Genetica,0.0091680814940577
Electrical And Electronic Engineering,0.0091680814940577
Covid-19,0.0088285229202037
Data Mining,0.0088285229202037
Python,0.0084889643463497
Open Data,0.0084889643463497
Clustering Algorithms,0.0084889643463497
Mild Cognitive Impairment,0.0084889643463497
Rinascimento,0.0081494057724957
Optimization,0.0081494057724957
Romanticismo,0.0081494057724957
World Wide Web,0.0081494057724957
Citation Data,0.0078098471986417
Leopardi,0.0078098471986417
Humanities,0.0078098471986417
Opencitations,0.0078098471986417
Giustizia,0.0078098471986417
Letteratura Moderna E Contemporanea,0.0078098471986417
Letteratura Italiana Moderna E Contemporanea,0.0074702886247877
Interpretation,0.0074702886247877
Pattern Recognition,0.0074702886247877
Gianfranco Contini,0.0074702886247877
Image Processing,0.0074702886247877
Search Engines,0.0074702886247877
Editoria,0.0074702886247877
Bibliographic Metadata,0.0071307300509337
Digital Library,0.0071307300509337
Recognition,0.0071307300509337
Evaluation,0.0071307300509337
Interoperability,0.0071307300509337
Scholarly Data,0.0071307300509337
Blockchain,0.0067911714770797
Ecdotica,0.0067911714770797
Creativity,0.0067911714770797
Legal Ontology,0.0067911714770797
Complex Systems,0.0067911714770797
Similarity Search,0.0067911714770797
Manoscritti,0.0067911714770797
Rash,0.0067911714770797
Dynamic Pricing,0.0067911714770797
Citation Analysis,0.0067911714770797
Open Science,0.0064516129032258
Agile,0.0064516129032258
Smart City,0.0064516129032258
Software Architecture,0.0064516129032258
Software Quality,0.0064516129032258
Privacy Policies,0.0064516129032258
Citation Networks,0.0064516129032258
Status,0.0064516129032258
Knowledge Patterns,0.0064516129032258
Music,0.0061120543293718
Computer Vision,0.0061120543293718
Cicerone,0.0061120543293718
Gadda,0.0061120543293718
Data Protection,0.0061120543293718
Italian,0.0061120543293718
Knowledge Extraction,0.0061120543293718
Dementia,0.0061120543293718
Sparql,0.0061120543293718
Open Citation Data,0.0061120543293718
Innovation,0.0061120543293718
Entrepreneurship,0.0061120543293718
Review,0.0061120543293718
Computational Thinking,0.0061120543293718
Law,0.0057724957555178
Dante Isella,0.0057724957555178
Benedetto Croce,0.0057724957555178
Network Analysis,0.0057724957555178
Tournament Rituals,0.0057724957555178
Wikipedia,0.0057724957555178
Argumentation,0.0057724957555178
Filologia D'Autore,0.0057724957555178
Ethics,0.0057724957555178
Knowledge Representation,0.0057724957555178
Software Development,0.0057724957555178
Linguistica Italiana,0.0057724957555178
Altmetrics,0.0057724957555178
Legal Semantic Web,0.0054329371816638
Citizen Participation,0.0054329371816638
Mobile Communications,0.0054329371816638
Real-Time Data Analysis,0.0054329371816638
Smart Grid,0.0054329371816638
Smart Lighting,0.0054329371816638
Smart Navigation,0.0054329371816638
Information And Communications,0.0054329371816638
Epistolari,0.0054329371816638
Intelligent Transportation System,0.0054329371816638
Computational Musicology,0.0054329371816638
Crowdsensing,0.0054329371816638
Legitimacy,0.0054329371816638
Combinatorial Optimization,0.0054329371816638
Decision Support Systems,0.0054329371816638
E-Mobility,0.0054329371816638
Environmental Actions,0.0054329371816638
Clustering,0.0054329371816638
Historic Buildings,0.0054329371816638
Integrated Design Approach,0.0054329371816638
Agent-Based Simulation,0.0054329371816638
Topic Modelling,0.0054329371816638
Mathematics,0.0054329371816638
Information Systems And Management,0.0054329371816638
Management Information Systems,0.0054329371816638
Letteratura Latina,0.0050933786078098
Ontology Network,0.0050933786078098
Privacy,0.0050933786078098
Novelty,0.0050933786078098
Advertising,0.0050933786078098
Query Languages,0.0050933786078098
Internet Learning,0.0050933786078098
Image Analysis,0.0050933786078098
Databases Education Engineering,0.0050933786078098
Computer Networks,0.0050933786078098
Music Information Retrieval,0.0050933786078098
Empirical Software Engineering,0.0050933786078098
Computer Systems,0.0050933786078098
Knowledge Engineering,0.0050933786078098
Science Of Science,0.0050933786078098
White Matter,0.0050933786078098
Software Engineering Education,0.0047538200339558
80 And Over,0.0047538200339558
Lesions,0.0047538200339558
Promessi Sposi,0.0047538200339558
Lesion Probability Map,0.0047538200339558
Apocalisse,0.0047538200339558
Digital Cultural Heritage,0.0047538200339558
Topology,0.0047538200339558
Letteratura Italiana Contemporanea,0.0047538200339558
Canti,0.0047538200339558
Eugenio Montale,0.0047538200339558
Digitalizzazione,0.0047538200339558
History,0.0047538200339558
Survey,0.0047538200339558
Small Vessel Disease,0.0047538200339558
Letteratura Greca,0.0047538200339558
Cognitive Semantics,0.0047538200339558
Magnetic Resonance Imaging,0.0047538200339558
Cerebral Small Vessel Diseases,0.0047538200339558
Cognitive Dysfunction,0.0047538200339558
Female,0.0047538200339558
Data Modeling,0.0047538200339558
Econometrics And Finance (All),0.0047538200339558
Mathematics Of Computing,0.0047538200339558
Humans,0.0047538200339558
Aged,0.0047538200339558
Male,0.0047538200339558
Neuroimaging,0.0047538200339558
Databases,0.0047538200339558
Internet,0.0047538200339558
Frames,0.0047538200339558
Pattern Library,0.0044142614601018
Design Patterns,0.0044142614601018
Economics,0.0044142614601018
Digital Hermeneutics,0.0044142614601018
Communication Design,0.0044142614601018
Finance,0.0044142614601018
Filologia Editoriale,0.0044142614601018
Power Consumption,0.0044142614601018
Citations,0.0044142614601018
Data Visualisation,0.0044142614601018
Digital Philology,0.0044142614601018
Tei,0.0044142614601018
Data Analysis,0.0044142614601018
Art History,0.0044142614601018
Dike,0.0044142614601018
Esiodo,0.0044142614601018
Pindaro,0.0044142614601018
Sovereign Debt Crisis,0.0044142614601018
Platone,0.0044142614601018
Eschilo,0.0044142614601018
Aulo Gellio,0.0044142614601018
Vangelo Di Luca,0.0044142614601018
Ecclesiaste,0.0044142614601018
Leibniz,0.0044142614601018
Systemic Risk Propagation,0.0044142614601018
Pelagio,0.0044142614601018
Illiquidity,0.0044142614601018
Neural Networks,0.0044142614601018
Impact,0.0044142614601018
Insiders,0.0044142614601018
Peer Evaluation,0.0044142614601018
Awards,0.0044142614601018
Opencitations Corpus,0.0044142614601018
Spar Ontologies,0.0044142614601018
Symbolism,0.0044142614601018
H63,0.0044142614601018
Fascismo,0.0044142614601018
Potere,0.0044142614601018
Robotics,0.0044142614601018
C12,0.0044142614601018
Coci,0.0044142614601018
Cooperative Thinking,0.0044142614601018
Financial Stability,0.0044142614601018
Flight-To-Quality,0.0044142614601018
G00,0.0044142614601018
G01,0.0044142614601018
Foscolo,0.0044142614601018
G21,0.0044142614601018
Granger-Causality,0.0044142614601018
Language,0.0044142614601018
Occ,0.0040747028862478
Digital Scholarly Editing,0.0040747028862478
Iconography,0.0040747028862478
Iconology,0.0040747028862478
Politica,0.0040747028862478
Text Analysis,0.0040747028862478
Computational Linguistics,0.0040747028862478
Perceived Value,0.0040747028862478
Destination Marketing,0.0040747028862478
Literary Criticism,0.0040747028862478
Alessandro,0.0040747028862478
Model-Driven Engineering,0.0040747028862478
Structural Equation Modelling,0.0040747028862478
Strategy,0.0040747028862478
Hardware And Architecture,0.0040747028862478
Lettere,0.0040747028862478
Classici,0.0040747028862478
Knowledge Management,0.0040747028862478
Wikis,0.0040747028862478
Prima Guerra Mondiale,0.0040747028862478
Alberto Savinio,0.0040747028862478
Icons,0.0040747028862478
Informed Consent,0.0040747028862478
Controlled Vocabularies,0.0040747028862478
Privacy Icons,0.0040747028862478
Partial Least Squares,0.0037351443123938
K-12,0.0037351443123938
Legal Reasoning,0.0037351443123938
Poesia Italiana Dell'Ottocento,0.0037351443123938
Text Mining,0.0037351443123938
Multivariate Analysis,0.0037351443123938
Latent Variable Analysis,0.0037351443123938
Asn,0.0037351443123938
High School,0.0037351443123938
Computer Science Education,0.0037351443123938
Linguistics And Language,0.0037351443123938
Humanities Research,0.0037351443123938
Research Evaluation,0.0037351443123938
Eros E Priapo,0.0037351443123938
Data Visualization,0.0037351443123938
Varianti,0.0037351443123938
Consumer Protection Law,0.0037351443123938
Owl,0.0037351443123938
Mixed Integer Non-Linear Programming,0.0037351443123938
Language And Linguistics,0.0037351443123938
Sat Modulo Theories,0.0037351443123938
Cultural Fields,0.0037351443123938
Delio Tessa,0.0037351443123938
Carlo Porta,0.0037351443123938
Cliques/Clans,0.0037351443123938
Reciprocity,0.0037351443123938
Direct Ties,0.0037351443123938
Jury,0.0037351443123938
Silvio Pellico,0.0037351443123938
Chronometer,0.0037351443123938
Virtual Reality,0.0037351443123938
Carlo Dossi,0.0037351443123938
Leo Spitzer,0.0037351443123938
Diritto,0.0037351443123938
Vittorio Sereni,0.0037351443123938
Artificial Neural Networks,0.0037351443123938
Decision Trees,0.0037351443123938
Local Search,0.0037351443123938
Paul Valéry,0.0037351443123938
Opencitations Data Model,0.0037351443123938
Legal Xml,0.0037351443123938
Digital Ecosystem,0.0037351443123938
Data Governance,0.0037351443123938
Giorgio Bassani,0.0037351443123938
Giuseppe Parini,0.0037351443123938
Human-Computer Interaction,0.0033955857385398
Dante Alighieri,0.0033955857385398
Software Process,0.0033955857385398
Ranflood,0.0033955857385398
Text Encoding,0.0033955857385398
Collaborative Learning,0.0033955857385398
Advanced Data Visualization,0.0033955857385398
Ecosistema Digitale,0.0033955857385398
Infrastruttura Digitale,0.0033955857385398
Digital Infrastructure,0.0033955857385398
Digitization,0.0033955857385398
Digital Heritage,0.0033955857385398
Alessandro Bonsanti,0.0033955857385398
Uncertainty,0.0033955857385398
Ministry Of Culture,0.0033955857385398
Bibliographic Data,0.0033955857385398
Historical Study,0.0033955857385398
Internet Of Things,0.0033955857385398
Scholarly Infrastructure Organization,0.0033955857385398
Aristotle,0.0033955857385398
Metrocles,0.0033955857385398
Agency,0.0033955857385398
Query Language,0.0033955857385398
Jolts,0.0033955857385398
Longitude,0.0033955857385398
Outsiders,0.0033955857385398
John Harrison,0.0033955857385398
Provenance,0.0033955857385398
Divina Commedia,0.0033955857385398
Romanzo,0.0033955857385398
Legal Informatics,0.0033955857385398
Owl Ontologies,0.0033955857385398
Ancient Philosophy,0.0033955857385398
Web-Page,0.0033955857385398
Papirology,0.0033955857385398
Socrates,0.0033955857385398
Socratic Dialogue,0.0033955857385398
Minor Socratics,0.0033955857385398
Megaric School,0.0033955857385398
Stilpon,0.0033955857385398
Dependency Parsing,0.0033955857385398
Novelty Field,0.0033955857385398
Il Conte Di Carmagnola,0.0033955857385398
Integration,0.0033955857385398
Omero,0.0033955857385398
I Promessi Sposi,0.0033955857385398
Legal Theory,0.0033955857385398
Virgilio,0.0033955857385398
Stéphane Mallarmá,0.0033955857385398
Risk Assessment,0.0033955857385398
Proust,0.0033955857385398
Data Protection Law,0.0033955857385398
Pattern Language,0.0033955857385398
Information Design,0.0033955857385398
Contract Design,0.0033955857385398
Speech Analysis,0.0033955857385398
Caporetto,0.0033955857385398
Frbr,0.0033955857385398
Framing,0.0033955857385398
Lanfranco Caretti,0.0033955857385398
Ludovico Ariosto,0.0033955857385398
Editing,0.0033955857385398
Vespasiano Da Bisticci,0.0033955857385398
Literature,0.0033955857385398
Formal Ontology,0.0033955857385398
Giornale Di Guerra E Di Prigionia,0.0033955857385398
Patrimonio Digitale,0.0033955857385398
Reference Mining,0.0033955857385398
Recurrent Neural Networks,0.0033955857385398
Paleografia,0.0033955857385398
Commedia,0.0033955857385398
Mythologiae,0.0033955857385398
Explainability,0.0033955857385398
Mitao,0.0033955857385398
Scholarly Communication,0.0033955857385398
Ministero Della Cultura,0.0033955857385398
Web Components,0.0030560271646859
Rest Api,0.0030560271646859
Tool Designers,0.0030560271646859
Opencitations Index,0.0030560271646859
Ideas,0.0030560271646859
Ramose,0.0030560271646859
Sparql Endpoint,0.0030560271646859
Open Scholarship,0.0030560271646859
Triplestore,0.0030560271646859
Stream Processing,0.0030560271646859
Open Citation Identifier,0.0030560271646859
Opencitations Meta,0.0030560271646859
Web Resources,0.0030560271646859
Data Access,0.0030560271646859
Natural Language Processing Techniques,0.0030560271646859
Web-First Format,0.0030560271646859
Collaborative Editing,0.0030560271646859
Paper,0.0030560271646859
Data Management,0.0030560271646859
Psicoanalisi,0.0030560271646859
Oscar,0.0030560271646859
Predictive Models,0.0030560271646859
Diffraction Limit,0.0030560271646859
Ink,0.0030560271646859
Schottky Diode Detector,0.0030560271646859
Informetrics,0.0030560271646859
Free-Text Search,0.0030560271646859
Longitudinal Study,0.0030560271646859
Linked Open Data For Smart Cities,0.0030560271646859
Rdf Data Processing,0.0030560271646859
Art Interpretation,0.0030560271646859
Semantics And Egovernment,0.0030560271646859
Simple++,0.0030560271646859
Confocal Microscopy,0.0030560271646859
Discourse Analysis,0.0030560271646859
Topics,0.0030560271646859
National Scientific Habilitation,0.0030560271646859
Discourse,0.0030560271646859
Themes,0.0030560271646859
Scholarly Editing,0.0030560271646859
Research Communication,0.0030560271646859
Research Article In Simplified Html,0.0030560271646859
Rash Framework,0.0030560271646859
Raje,0.0030560271646859
Communication,0.0030560271646859
Natural Language Understanding,0.0030560271646859
Governance,0.0030560271646859
Html-Based Scholarly Articles,0.0030560271646859
Mimesis,0.0030560271646859
Resource,0.0030560271646859
Event Extraction,0.0030560271646859
Resource Center,0.0030560271646859
Terahertz,0.0030560271646859
Instrumentation,0.0030560271646859
Lope De Vega,0.0030560271646859
Datasets,0.0030560271646859
Radiation,0.0030560271646859
Alberto Blecua,0.0030560271646859
Data Science,0.0030560271646859
Water Quality,0.0030560271646859
Academic Assessment,0.0030560271646859
Textual Criticism,0.0030560271646859
Data Processing,0.0030560271646859
Letter On Romanticism,0.0030560271646859
Education,0.0030560271646859
Anticipatory Algorithms,0.0030560271646859
Infrastructure Service,0.0030560271646859
Ontology Design,0.0030560271646859
Complex Task,0.0030560271646859
Usability,0.0030560271646859
Legalxml,0.0030560271646859
Camerini,0.0030560271646859
Scholarly Edition,0.0030560271646859
Wiki Leopardi,0.0030560271646859
Wikidata,0.0030560271646859
Variants Criticism,0.0030560271646859
Wiki,0.0030560271646859
Storia Dell'Arte,0.0030560271646859
Knowledge Organization,0.0030560271646859
Digital Texts,0.0030560271646859
Edizioni Critiche,0.0030560271646859
Agile Methods,0.0030560271646859
Digital Edition,0.0030560271646859
Letteratura Francese,0.0030560271646859
Simbolismo,0.0030560271646859
Mallarmá,0.0030560271646859
Valéry,0.0030560271646859
Cinquecento,0.0030560271646859
Condensed Matter Physics,0.0030560271646859
Smart Contracts,0.0030560271646859
Assistive,0.0030560271646859
Innovative Approaches,0.0030560271646859
Formal Methods,0.0030560271646859
Ransomware,0.0030560271646859
Detection,0.0030560271646859
Sustainable Tourism Development,0.0030560271646859
Mitigation,0.0030560271646859
Restoration,0.0030560271646859
Design And Evaluations,0.0030560271646859
Bibliographic References,0.0030560271646859
Forecasting,0.0030560271646859
Honeypot,0.0030560271646859
Contention,0.0030560271646859
Moving-Target,0.0030560271646859
Ecdosys Leopardi,0.0030560271646859
Defence,0.0030560271646859
Tourist Satisfaction,0.0030560271646859
