Title,Closeness Centrality
The Landscape of Ontology Reuse Approaches,0.23484149672828916
Political Roles Ontology (PRoles): enhancing archival authority records through Semantic Web technologies,0.22452975961982322
Enhancing Semantic Expressivity in the Cultural Heritage Domain: Exposing the Zeri Photo Archive as Linked Open Data,0.22452975961982322
Zeri Photo Archive RDF Dataset,0.22452975961982322
The Project Zeri Photo Archive: Towards a Model for Defining Authoritative Authorship Attributions.,0.22452975961982322
Analysing and Discovering Semantic Relations in Scholarly Data,0.219858544093752
The Publishing Workflow Ontology (PWO),0.21537773137445
Zeri e LODE. Extracting the Zeri photo archive to Linked Open Data: formalizing the conceptual model,0.21249063041768793
The aggregation of heterogeneous metadata in Web-based cultural heritage collections. A case study,0.211075912505453
Semantic lenses as exploration method for scholarly article,0.211075912505453
Reflecting on the Europeana Data Model,0.211075912505453
Predicting the results of evaluation procedures of academics,0.21023608791988754
Do altmetrics work for assessing research quality?,0.21023608791988754
The practice of self-citations: a longitudinal study,0.21023608791988754
Exploiting coordinated views for scholarly reading and analysis,0.20940291980395667
